Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,
"C10, C12, C14, C17, C2, C4, C6, C7, C8, C9",0805,10,10n,
"C11, C13, C15, C3, C5",0805,5,10u,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
J1,TerminalBlock_OnShore_ED550_4DS,1,ED550/4DS,
J2,BarrelJack_CUI_PJ-079BH_Horizontal,1,PJ-051AH,
J3,Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical,1,TC2050,
K1,Relay_CIT_J107F1A,1,J107F1AS125VDC,
"Q1, Q2",SOT-23-3,2,AOSS32334C,
"R1, R10, R11, R12, R13, R15, R8",0805,7,10k,
"R14, R7",0805,2,100k,
"R16, R9",0805,2,15k,
R2,R_Shunt_VFR_Y14880Rxxxxxxxx,1,Y14880R05000B0R,
"R3, R4",0805,2,2k,
"R5, R6",0805,2,160k,
RV1,Potentiometer_Bourns_3386P_Vertical,1,3386P-1-103LF,
"SW1, SW2, SW3",SW_SPST_B3S-1000,3,B3S-1000,
"U1, U4",SOIC-14_3.9x8.7mm_P1.27mm,2,OPA4196IDR,
U2,TO-220-3_Horizontal_TabDown,1,LT323AT#PBF,
U3,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny1634-S,
U5,NHD-0420H1Z,1,NHD-0420H1Z,
"U6, U7",TO-92_Inline,2,MCP1700-3302E/TO,
